property_id,property_name,intended_use,district_key,district_name,property_address,postal_code,postal_area,grossarea,totalgrossarea,volume,totalfloorarea,year_built,year_renovated,floorcount,attic_floorcount,keyfield
675204,Ylikiimingin koulun kentän huoltorakennus,359 Muut urheilu- ja kuntoilurakennukset,16,Ylikiiminki,Opinkuja 4,91300,YLIKIIMINKI,0.0,0.0,0.0,0.0,1960,0,0,0,502794
632117,"Kauppatori, makasiini nro 17",119 Muut myymälärakennukset,01,Keskusta,Kauppatori,90100,OULU,48.0,56.5,284.0,56.5,1700,0,0,0,502795
663903,"Perinnetupa, Koitelinkoski",999 Muualla luokittelemattomat rakennukset,30,Kiiminki,Koitelinkoskentie 456,90900,KIIMINKI,104.0,114.0,404.0,104.0,1950,1997,0,0,502796
675201,Ylikiimingin koulun yläkoulu,511 Yleissivistävien oppilaitosten rakennukset,16,Ylikiiminki,Harjutie 17 / Opinkuja 4,91300,YLIKIIMINKI,2079.0,2345.0,8540.0,2439.0,2004,0,3,0,502797
647201,"Oulunsalon urheilukenttä, huoltorakennus",359 Muut urheilu- ja kuntoilurakennukset,40,Oulunsalo,Koulutie 2,90460,OULUNSALO,136.0,154.0,226.0,82.0,1981,0,0,0,502798
675701,Ylikiimingin terveysasema,214 Terveyskeskukset,16,Ylikiiminki,Vesaisenlinnantie 2,91300,YLIKIIMINKI,844.0,975.0,3340.0,886.0,1989,0,0,0,502799
656401,Martinniemen koulu ja kirjasto,511 Yleissivistävien oppilaitosten rakennukset,20,Haukipudas,Jokisuuntie 1,90850,MARTINNIEMI,3018.0,3415.0,14773.0,3298.0,1956,2005,0,0,502800
688202,"Otokylän päiväkoti, varasto",231 Lasten päiväkodit,02,Höyhtyä,Hanhitie 17,90150,OULU,39.0,42.0,105.0,0.0,1980,0,0,0,502801
656301,"Aseman koulu ja kirjasto, A-rakennus",511 Yleissivistävien oppilaitosten rakennukset,20,Haukipudas,Asemakylänraitti 1,90840,HAUKIPUDAS,939.0,1079.0,3438.0,1123.0,1957,2006,0,0,502802
656501,Toimintakeskus Jatuli ja Vesi-Jatuli,352 Uimahallit,20,Haukipudas,Jokelantie 20,90830,HAUKIPUDAS,8635.0,9586.0,48100.0,9112.0,1979,0,0,0,502803
646101,Pitkäkankaan päiväkoti,231 Lasten päiväkodit,40,Oulunsalo,Tuohikuja 3,90460,OULUNSALO,1288.0,1465.0,4827.0,1339.0,2001,0,1,0,502804
610603,"Kalliolan päiväkoti, varasto",231 Lasten päiväkodit,08,Tuira,Valtatie 69,90500,OULU,28.0,30.0,84.0,0.0,1982,0,0,0,502805
667801,Yli-Iin kirjasto,322 Kirjastot ja arkistot,50,Yli-Ii,Halametsä 1,91200,YLI-II,708.0,614.0,2750.0,813.0,1985,0,0,0,502806
698501,Virpiniemen öljyntorjunta-asema,729 Muut palo- ja pelastustoimen rakennukset,20,Haukipudas,Mustakarintie 80,90810,KIVINIEMI,409.0,430.0,3205.0,0.0,2016,0,1,0,502807
647606,"Varjakka, rantasauna (mantere)","141 Ravintolat, ruokalat, baarit, yms.",40,Oulunsalo,Varjakka,90470,VARJAKKA,19.0,19.0,57.0,19.0,0,1996,0,0,502808
658004,"Haukiputaan varikko, katos",162 Kulkuneuvojen suoja- ja huoltorakennukset,20,Haukipudas,Simppulanharjuntie 17,90830,HAUKIPUDAS,0.0,0.0,0.0,0.0,0,0,0,0,502809
612802,"Kuivasrannan päiväkoti, leikkipihan varasto",231 Lasten päiväkodit,12,Kaijonharju,Kuivasrannantie 6,90540,OULU,20.0,0.0,65.0,26.0,2006,0,1,0,502810
658002,"Haukiputaan varikko, lämmin/kylmä halli",162 Kulkuneuvojen suoja- ja huoltorakennukset,20,Haukipudas,Simppulanharjuntie 17,90830,HAUKIPUDAS,130.0,130.0,0.0,0.0,0,0,0,0,502811
623403,"Kastellin koulu, pumppaamo",,3,Oulunsuu,Kajaanintie 54,90230,OULU,0.0,0.0,0.0,0.0,0,0,0,0,502812
668101,Yli-Iin paloasema,721 Paloasemat,50,Yli-Ii,Kirkkokuja 1,91200,YLI-II,616.0,682.0,2950.0,682.0,1997,0,0,0,502813
646001,Salonpään päiväkoti,231 Lasten päiväkodit,40,Oulunsalo,Keskipiirintie 27,90470,VARJAKKA,288.0,337.0,1155.0,335.0,1991,2004,1,0,502814
649828,"Varjakka, paritalo S-9 (saari)",999 Muualla luokittelemattomat rakennukset,40,Oulunsalo,Varjakka,90470,VARJAKKA,191.0,133.0,840.0,280.0,1920,0,0,0,502815
667101,"Teknisen toimiston tukikohta, Yli-Ii",162 Kulkuneuvojen suoja- ja huoltorakennukset,50,Yli-Ii,Ruunatie 14,91200,YLI-II,437.0,270.0,877.0,224.0,1983,0,0,0,502816
658001,Haukiputaan varikko,999 Muualla luokittelemattomat rakennukset,20,Haukipudas,Simppulanharjuntie 17,90830,HAUKIPUDAS,1511.0,1714.0,6205.0,0.0,1972,1983,0,0,502817
668002,"Yli-Iin yleisurheilukeskus, huoltorakennus, varasto",359 Muut urheilu- ja kuntoilurakennukset,50,Yli-Ii,Tulisijantie,91200,YLI-II,83.0,90.0,412.0,85.0,2001,0,0,0,502818
675301,Mustikan päiväkoti TYHJÄ,231 Lasten päiväkodit,16,Ylikiiminki,Hillikkotie 8,91300,YLIKIIMINKI,249.0,280.0,950.0,278.0,1985,0,0,0,502819
677302,Vesalan vanha koulu,511 Yleissivistävien oppilaitosten rakennukset,16,Ylikiiminki,Valpastie 11,91300,YLIKIIMINKI,235.0,272.0,977.0,272.0,1920,2003,0,0,502820
646201,Saloilan päiväkoti,231 Lasten päiväkodit,40,Oulunsalo,Tolvasenkuja 1,90460,OULUNSALO,852.0,988.0,3310.0,840.0,1986,0,1,0,502821
656601,Pihlajakoti,221 Vanhainkodit,20,Haukipudas,Harjuntie 14 E,90830,HAUKIPUDAS,713.0,842.0,2453.0,691.0,1999,0,0,0,502822
677002,"Pylkönaho, kuuluttamo",359 Muut urheilu- ja kuntoilurakennukset,16,Ylikiiminki,Puolangantie 107,91300,YLIKIIMINKI,34.0,39.0,148.0,0.0,1984,0,0,0,502823
649832,"Varjakka, sauna ja liiteri S-11 (saari)",999 Muualla luokittelemattomat rakennukset,40,Oulunsalo,Varjakka,90470,VARJAKKA,41.0,94.0,150.0,50.0,1920,0,0,0,502824
601302,"Ruskonselän paloasema, varasto",721 Paloasemat,15,Korvensuora,Tapsitie 4 B,90620,OULU,215.0,225.0,1414.0,0.0,2013,0,1,0,502825
657302,"Kellon koulu ja päiväkoti, pihavaja",511 Yleissivistävien oppilaitosten rakennukset,20,Kello,Kylätie 6,90820,KELLO,22.0,0.0,0.0,0.0,2005,0,0,0,502826
627801,"Rita-aukion koulu, uusi",511 Yleissivistävien oppilaitosten rakennukset,12,Kaijonharju,Rita-aukiontie 6,90540,OULU,2288.5,2542.5,13760.0,2454.5,2019,0,2,0,502827
647604,"Varjakka, Lotina",013 Muut erilliset pientalot,40,Oulunsalo,Franzeninkuja 1,90470,VARJAKKA,134.0,166.0,498.0,166.0,0,1996,0,0,502828
612704,"Kuukkelin päiväkoti, leikkimökki-varasto",231 Lasten päiväkodit,06,Kaakkuri,Hippiäiskuja 3,90420,OULU,4.0,4.0,44.0,0.0,2007,0,0,0,502829
616301,Metsolan lastenkoti,222 Lasten- ja koulukodit,11,Pateniemi,Hämäläntie 15,90800,OULU,964.0,1105.0,4600.0,1105.0,2006,0,1,0,502830
665403,"Kiiminkijoen päiväkoti, varasto",231 Lasten päiväkodit,30,Kiiminki,Raatinharjuntie 11,90900,KIIMINKI,14.0,16.0,44.0,35.0,0,0,0,0,502831
647607,"Varjakka, piharakennus (mantere)",999 Muualla luokittelemattomat rakennukset,40,Oulunsalo,Varjakka,90470,VARJAKKA,762.0,762.0,0.0,0.0,0,1995,0,0,502832
602003,"Kontinkankaan sairaala, B-talo",214 Terveyskeskukset,3,Oulunsuu,Kajaanintie 46,90220,OULU,1264.5,1890.0,7111.0,1474.0,1939,2018,0,0,502833
657501,Ent. Oravan koulu,231 Lasten päiväkodit,21,Kello,Simunantie 15,90820,KELLO,689.0,804.0,3485.0,935.0,1887,2001,0,0,502834
646601,Oulunsalon kirkonkylän koulu,511 Yleissivistävien oppilaitosten rakennukset,40,Oulunsalo,Koulutie 4,90460,OULUNSALO,5084.0,5714.0,25254.0,5426.0,1977,2003,0,0,502835
647104,"Oulunsalon varikko, varastohalli",719 Muut varastorakennukset,40,Oulunsalo,Marjatie 66,90460,OULUNSALO,224.0,243.0,1237.0,229.0,1999,0,0,0,502836
647901,Oulunsalon kotiseutumuseo,323 Museot ja taidegalleriat,40,Oulunsalo,Jääsköntie 5,90460,OULUNSALO,103.0,116.0,392.0,116.0,1870,0,0,0,502837
612702,"Kuukkelin päiväkoti, pihavarasto 1",231 Lasten päiväkodit,06,Kaakkuri,Hippiäiskuja 3,90420,OULU,14.0,15.0,38.0,15.0,2007,0,0,0,502838
611002,"Kaijonharjun päiväkoti Kanerva, varasto-jätekatos",231 Lasten päiväkodit,12,Kaijonharju,Kalevalantie 9,90570,OULU,21.0,24.0,91.0,0.0,2009,0,1,0,502839
665401,Kiiminkijoen koulu,511 Yleissivistävien oppilaitosten rakennukset,30,Kiiminki,Raatinharjuntie 9,90900,KIIMINKI,4170.0,4585.0,17372.0,4610.0,1959,2010,0,0,502840
